,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,outlier
DNPH1,46.797.336.646.517,129.360.853.064.517,454.781.477.332.611,284.446.178.026.522,444.865.225.556.897,346.850.865.726.312,FALSE
BEX2,341.757.235.356.924,129.360.573.478.243,445.306.141.334.946,290.498.067.442.869,367.275.776.591.679,305.527.369.221.597,FALSE
MIA3,7.525.455.584.229,-129.216.584.920.555,317.201.769.827.056,-407.364.009.951.791,"4,63E+09",124.074.007.589.168,FALSE
IL11RA,575.888.405.894.408,129.215.405.202.304,477.108.255.410.677,270.830.369.705.256,67.628.106.248.977,465.478.908.732.398,FALSE
ASPSCR1,725.377.590.106.632,129.122.602.402.704,409.744.079.110.831,315.129.879.809.144,162.546.110.021.307,170.532.477.602.589,FALSE
TXLNB,216.090.835.452.229,-129.098.821.577.005,353.491.489.259.417,-365.210.551.030.448,260.098.970.650.727,458.548.959.405.337,FALSE
FCRL6,18.790.510.927.379,129.050.829.166.737,403.821.748.822.351,319.573.746.444.025,139.473.958.191.121,15.280.504.257.154,FALSE
MRPL44,316.319.866.804.085,-129.008.179.904.108,287.797.523.490.623,-448.260.215.513.325,"7,37E+08",306.760.179.439.025,FALSE
TREML2,770.078.469.852.727,-128.941.274.807.413,349.852.494.960.639,-368.558.968.893.217,228.173.708.197.597,415.937.909.717.082,FALSE
RPS3,566.171.703.176.641,128.909.646.393.756,444.392.285.291.955,290.080.747.709.346,372.202.478.125.708,308.725.037.310.815,FALSE
RNF144B,520.117.091.084.887,-128.905.772.972.707,4.126.264.885.127,-312.403.048.668.407,178.391.972.255.565,182.635.587.394.498,FALSE
NUP155,161.012.442.755.208,128.829.674.703.934,472.394.844.148.438,272.716.089.728.221,638.818.809.283.393,448.522.104.727.022,FALSE
TRPT1,404.530.953.163,12.882.520.850.787,394.462.190.963.126,326.584.426.743.987,109.138.252.469.012,1.296.024.612.457,FALSE
RAB43,799.080.803.443.894,-128.770.896.666.673,383.473.263.621.128,-335.801.498.781.671,785.043.563.800.905,10.274.808.851.927,FALSE
IL15,475.621.387.648.893,-128.737.152.126.279,479.100.884.533.914,-268.705.728.338.446,720.845.893.169.276,486.752.363.031.118,FALSE
CARNS1,728.973.363.189.542,128.687.610.896.619,372.592.981.771.251,345.383.883.198.384,552.667.553.506.805,796.861.371.396.348,FALSE
TTC7B,363.902.206.375.983,-128.673.367.551.988,365.350.129.472.538,-352.191.930.895.868,428.434.528.365.766,664.802.149.117.219,FALSE
UFSP2,376.804.251.646.143,128.564.060.689.303,35.378.161.163.318,363.399.499.752.987,279.066.274.325.126,488.151.972.189.887,FALSE
FBXO4,226.212.857.333.796,128.547.489.227.114,479.704.123.819.144,267.972.449.775.267,736.827.761.728.702,49.490.698.601.389,FALSE
SH3YL1,898.647.388.594.215,128.543.007.662.246,327.998.056.286.337,391.901.735.996.965,"8,89E+09",205.268.555.218.095,FALSE
TSC22D3,9042117.38.00,-128.522.542.690.622,435.375.403.342.328,-295.199.365.200.626,315.729.421.598.675,273.624.168.186.389,FALSE
MYL12A,23506725.45.00,-128.519.008.979.259,354.691.800.732.058,-362.339.948.975.434,29.075.621.983.862,50.167.544.436.603,FALSE
ACSL6,353.555.943.926.614,128.482.699.882.438,42.266.815.751.971,303.980.078.926.211,236.734.678.183.568,222.420.059.163.975,FALSE
NABP1,977.777.795.831.386,-128.437.447.883.018,402.564.056.233.617,-319.048.474.135.213,142.034.340.977.167,154.866.315.377.112,FALSE
ANKFY1,896.830.840.703.302,-128.427.638.889.645,271.487.699.612.667,-473.051.409.227.281,"2,24E+08",119.353.846.838.716,FALSE
TRIM56,55.027.780.428.889,-128.363.206.741.793,391.163.972.230.014,-328.157.028.393.997,103.230.793.764.645,124.718.983.356.544,FALSE
DAPP1,119.637.227.169.464,-128.351.803.812.016,334.621.626.454.168,-383.572.948.264.286,125.192.147.630.566,269.658.995.140.433,FALSE
C19orf66,978.776.056.219.757,-128.351.445.296.167,369.358.604.844.973,-347.498.186.349.385,510.887.890.769.968,753.140.432.667.839,FALSE
H3F3B,987.704.434.796.637,-128.261.220.923.546,325.951.335.184.638,-393.498.068.817.208,"8,32E+09",196.818.965.223.841,FALSE
OR52K2,117.473.929.095.163,-128.253.429.185.434,393.835.099.417.123,-325.652.612.921.625,112.784.549.316.577,131.793.830.425.775,FALSE
EIF4E3,119.280.792.624.295,-128.158.879.564.559,345.118.271.316.902,-37.134.770.951.283,20.443.097.498.716,386.589.536.384.206,FALSE
APOBR,395.863.504.634.298,-128.132.941.247.798,322.236.211.011.058,-397.636.692.802.972,"7,00E+09",171.999.510.611.237,FALSE
DTD1,560.384.109.812.597,128.063.856.920.532,260.681.788.835.812,491.265.068.773.913,"8,99E+07","5,89E+09",FALSE
LDHB,119.290.391.263.607,128.056.860.360.531,389.577.004.384.724,32.870.744.145.378,10.123.407.868.805,12.308.898.373.531,FALSE
FRA10AC1,24.694.024.021.579,128.017.899.783.019,465.990.681.015.694,274.722.016.981.081,601.027.725.990.289,430.032.698.552.023,FALSE
MR1,627.613.098.309.713,-127.910.544.820.335,334.396.991.044.596,-38.251.105.197.079,130.713.433.767.228,279.299.016.349.564,FALSE
COL8A2,311.326.234.276.377,-127.905.731.111.948,444.250.541.422.781,-287.913.506.424.349,398.767.513.431.942,322.778.104.378.375,FALSE
ARL8A,601.428.397.311.874,-127.885.850.498.274,26.670.922.443.186,-479.495.415.918.571,"1,63E+08","9,07E+09",FALSE
ETS2,607.087.519.795.823,-127.706.596.194.589,366.001.226.917.864,-348.923.956.539.763,484.396.815.727.246,723.108.073.739.429,FALSE
RPSAP9,247.920.133.327.358,127.685.092.538.534,403.300.984.422.046,316.600.002.158.474,154.550.782.223.066,164.733.801.051.783,FALSE
PRICKLE4,182.304.434.432.554,-127.594.952.549.567,337.246.653.078.946,-378.343.124.786.175,154.681.065.884.532,313.903.479.788.805,FALSE
HIST2H2AB,252.994.175.799.243,-127.498.479.844.453,441.765.367.077.399,-288.611.306.694.203,39.003.200.943.102,318.419.117.219.813,FALSE
UBE2J1,160.312.778.452.754,-127.452.219.004.886,348.433.942.410.893,-36.578.588.791.613,254.331.006.865.765,452.141.937.302.212,FALSE
NCF1C,344.143.472.376.213,-127.335.452.260.493,408.519.689.723.439,-311.699.669.474.188,182.703.620.546.018,185.881.783.436.872,FALSE
SSBP2,548.260.699.120.982,127.325.061.450.642,238.604.379.769.751,533.624.158.841.966,"9,49E+06","1,00E+09",FALSE
RNF175,647.151.501.680.245,-127.311.180.711.215,351.024.463.418.919,-362.684.638.760.574,286.903.857.981.057,497.107.533.899.449,FALSE
ATG3,998.063.649.525.843,-127.238.509.408.326,379.220.558.874.334,-335.526.401.274.279,792.892.737.127.697,10.322.992.770.481,FALSE
MTMR6,38.716.483.378.454,-127.152.356.855.703,279.872.455.152.778,-454.322.511.968.148,"5,54E+08",242.083.283.115.925,FALSE
GIPC1,993.404.362.488.107,127.149.576.996.628,38.565.236.726.605,329.699.977.982.791,977.235.778.395.057,120.650.553.242.384,FALSE
ST3GAL6,122.114.740.461.071,-127.063.938.207.728,396.354.044.931.563,-320.581.913.651.639,134.678.610.339.222,149.127.140.865.905,FALSE
SLC9A7P1,342.283.272.448.572,-127.039.440.548.606,38.242.945.960.816,-332.190.518.687.475,894.050.683.260.062,113.548.419.182.417,FALSE
RPS8,321.387.006.243.811,126.899.069.266.589,457.552.015.224.646,27.734.348.236.732,554.679.501.968.382,406.562.964.007.031,FALSE
NLE1,27.193.162.401.716,126.789.219.021.467,429.594.021.020.702,295.137.298.978.743,316.364.627.211.764,273.758.617.097.889,FALSE
IKBKAP,938.164.656.793.855,126.643.353.783.158,278.735.986.272.874,454.348.774.539.568,"5,53E+08",242.083.283.115.925,FALSE
VEGFB,133.386.774.552.113,126.541.609.182.137,412.880.718.322.818,306.484.666.312.748,217.781.621.412.465,209.074.022.913.229,FALSE
CD24,141.899.800.351.582,126.436.219.332.182,421.996.502.821.217,299.614.377.102.428,273.417.489.839.433,245.731.006.431.736,FALSE
TRMT1,181.159.508.357.487,126.039.510.960.517,378.059.747.061.092,333.385.164.488.696,856.523.284.719.487,109.883.555.255.633,FALSE
MTF1,432.128.236.949.119,-12.598.994.903.515,354.702.231.017.573,-355.199.200.957.121,382.326.470.494.331,614.145.548.730.682,FALSE
HACD4,346.447.460.346.592,-125.943.148.395.741,334.460.639.898.282,-376.555.963.159.204,166.176.455.662.309,331.607.993.607.979,FALSE
PRKD2,9250911.55.00,-125.927.736.006.546,255.912.669.845.435,-492.073.081.346.864,"8,62E+07","5,71E+09",FALSE
FAM159A,255.643.223.290.083,125.706.569.023.862,461.928.569.943.344,272.134.215.554.754,650.174.269.952.293,451.597.901.876.121,FALSE
HIST1H3D,482.237.953.153.946,-125.621.511.761.878,414.588.570.093.188,-30.300.283.419.208,244.530.790.784.595,227.949.350.782.074,FALSE
REM2,188.205.277.173.792,-125.605.521.067.335,424.633.183.717.536,-295.797.704.662.872,309.665.181.575.126,269.803.773.557.243,FALSE
MARCKSL1,335.524.874.060.164,125.503.290.910.703,385.192.326.643.867,325.819.810.597.469,112.122.104.099.471,13.131.238.056.097,FALSE
THEM4,877.195.142.430.444,125.470.145.225.947,340.118.690.894.317,368.901.058.909.854,22.512.785.020.117,41.147.165.569.621,FALSE
CXCR2,112.088.246.211.785,-125.298.139.225.293,41.413.513.348.494,-302.553.753.821.635,248.191.594.123.764,22.975.853.335.889,FALSE
SPI1,666.982.802.970.221,-125.102.792.626.776,418.996.961.603.558,-298.576.849.216.258,282.866.699.700.628,252.235.708.372.608,FALSE
RAB1A,771.573.479.348.045,-12.498.710.726.596,253.479.413.576.851,-493.085.830.925.143,"8,19E+07","5,52E+09",FALSE
NPC2,150.256.827.940.328,-124.891.985.985.241,445.095.220.434.062,-280.596.106.746.429,501.667.532.417.186,37.695.809.659.294,FALSE
DNAJC1,155.346.618.368.356,-124.461.674.848.654,427.332.280.571.733,-291.252.686.743.287,35.851.735.693.718,300.653.709.990.334,FALSE
ITPRIPL2,216.438.937.457.368,-124.354.736.907.727,390.260.757.137.167,-318.645.250.985.407,144.029.131.211.638,156.516.487.343.309,FALSE
TRIP6,600.948.967.276.971,-124.326.591.410.319,322.574.823.859.214,-385.419.388.664.319,116.111.556.312.765,252.719.904.531.886,FALSE
SH2D1A,199.493.622.810.724,124.236.466.508.562,284.755.746.130.025,436.291.341.604.161,"1,28E+09",450.380.808.016.842,FALSE
SUSD3,144.451.146.675.108,124.163.213.002.714,404.265.992.490.478,307.132.470.475.213,213.111.257.901.358,206.689.694.674.902,FALSE
MAGI3,150.161.217.292.775,-124.139.547.193.571,433.361.351.842.917,-286.457.356.350.893,417.571.151.641.233,331.874.493.691.168,FALSE
C17orf67,11754630.01.00,-124.085.954.996.502,419.570.237.919.161,-295.745.369.385.351,310.191.335.906.393,269.849.899.772.114,FALSE
FPR1,13697850.34.00,-123.888.602.230.819,43.328.965.940.522,-285.925.591.672.052,424.636.061.011.354,335.713.860.562.995,FALSE
DPH5,727.452.622.916.339,123.851.058.753.748,396.976.600.078.893,31.198.579.142.734,180.938.294.633.754,184.250.111.633.747,FALSE
C20orf24,127.949.834.787.149,-123.802.514.686.118,387.715.541.571.099,-3.193.127.471.353,140.740.803.273.521,153.833.618.912.435,FALSE
RASGRP4,411023.37.00,-123.688.634.042.535,44.461.864.979.642,-278.190.386.523.754,540.410.453.414.875,397.381.123.223.511,FALSE
NMUR1,923.860.410.776.586,123.684.887.794.236,392.519.108.585.313,315.105.392.550.215,162.682.451.233.333,170.532.477.602.589,FALSE
EIF3L,110.473.920.405.639,123.665.060.282.409,301.370.511.808.697,410.342.271.180.494,"4,07E+09",112.415.877.573.066,FALSE
RPL13AP6,488.779.377.291.886,123.628.868.930.251,386.287.561.433.155,320.043.618.468.012,137.219.752.121.032,151.060.933.681.503,FALSE
PKIA,540.823.193.569.413,123.534.635.416.616,401.329.640.603.659,307.813.385.601.925,208.301.327.698.042,204.095.931.477.334,FALSE
APBB1IP,333.087.780.733.803,-123.488.884.023.871,379.600.347.755.621,-325.312.884.337.425,114.141.729.693.485,133.106.996.641.534,FALSE
ELF1,145.283.264.769.795,-12.340.893.796.643,38.814.345.095.666,-317.946.722.177.749,147.546.055.683.901,158.911.567.088.534,FALSE
SIRPB2,373.362.415.505.438,-123.273.788.900.917,274.884.483.482.219,-448.456.702.027.312,"7,31E+08",305.228.463.691.633,FALSE
H3F3C,202.470.409.948.934,-123.095.864.062.478,316.552.398.060.663,-38.886.410.217.271,100.807.090.712.492,225.981.927.172.932,FALSE
FLT3LG,233.446.850.449.589,122.938.263.181.982,397.521.588.795.143,309.261.853.059.601,198.398.985.189.953,197.619.251.187.023,FALSE
RNF149,7559022.57.00,-122.864.595.659.567,37.889.694.903.734,-324.269.160.709.074,118.406.300.665.921,136.406.450.413.619,FALSE
RPS14,441.407.538.082.784,122.849.077.914.481,417.143.771.052.128,29.450.056.896.362,322.948.724.087.557,277.799.332.638.314,FALSE
UBXN2B,79.598.756.256.196,-122.823.499.060.044,342.265.675.976.841,-358.854.269.302.641,332.531.544.902.629,556.904.885.405.944,FALSE
HIP1R,29.088.738.780.071,122.815.209.380.745,38.573.476.792.767,31.839.289.478.768,145.290.670.530.536,157.513.317.243.419,FALSE
SH2B2,299.072.977.106.636,-122.791.243.033.542,35.701.542.552.664,-343.938.200.576.096,583.043.883.263.431,829.129.113.294.194,FALSE
SDCBP,377.382.360.083.563,-12.276.232.856.683,345.077.375.410.551,-355.753.049.358.207,374.357.655.168.609,60.475.199.110.453,FALSE
PPAPDC1B,141.141.655.683.345,12.273.237.400.009,305.965.016.492.907,401.132.049.039.125,"6,04E+09",15.202.135.717.779,FALSE
RPL13A,458.795.258.839.285,122.731.018.736.474,400.020.211.093.658,306.812.044.323.775,215.409.778.604.026,207.593.810.840.538,FALSE
IL18,205.551.067.303.192,-122.728.719.408.744,42.950.629.211.328,-285.743.705.417.883,427.077.332.083.512,336.591.071.158.864,FALSE
MCOLN1,170.793.672.867.388,-122.708.584.647.366,413.822.916.131.051,-296.524.382.445.042,302.443.118.017.863,265.539.935.411.372,FALSE
TGFBR3,162.640.034.671.878,122.676.658.091.267,437.230.829.924.743,280.576.413.407.038,501.974.214.590.992,37.695.809.659.294,FALSE
RPL13AP3,356.509.440.415.658,122.505.236.609.994,432.423.750.622.944,283.299.047.366.187,461.147.602.617.574,354.645.206.193.758,FALSE
SCAMP1-AS1,742.765.879.326.256,-122.330.406.516.496,45.208.368.036.581,-270.592.396.561.429,681.146.396.256.506,467.656.719.791.973,FALSE
KCNE3,700.096.970.933.115,-12.232.269.890.982,353.552.375.832.765,-345.981.832.597.501,540.539.948.326.551,785.332.243.396.728,FALSE
BST1,909.755.417.855.953,-12.226.932.300.383,405.696.892.847.357,-301.380.969.781.876,257.989.576.802.749,237.287.993.825.432,FALSE
AMBRA1,277.722.565.157.974,-122.143.851.535.082,269.866.151.263.427,-452.609.009.923.043,"6,01E+08",257.619.961.131.811,FALSE
IRF1,538.912.155.332.392,-122.109.060.760.979,418.011.461.892.031,-292.118.929.486.481,348.697.890.741.056,294.149.367.152.496,FALSE
TP53I3,638.468.188.429.731,-122.086.940.585.345,311.079.877.253.421,-39.246.171.003.818,"8,69E+09",202.267.753.772.209,FALSE
MROH1,799.907.570.538.154,121.985.696.085.493,414.131.669.469.193,294.557.758.023.785,322.352.298.045.266,277.675.827.734.612,FALSE
CASZ1,116.871.583.377.101,-121.974.924.631.426,354.918.829.975.623,-343.669.916.413.856,588.849.246.458.448,835.301.698.489.876,FALSE
RPS16,409.058.256.298.005,121.974.775.993.205,40.257.089.293.696,302.989.555.711.138,244.638.321.225.128,227.949.350.782.074,FALSE
ARL11,323.527.159.310.853,-121.972.520.346.664,345.388.144.119.241,-353.146.228.159.339,413.268.796.854.397,650.114.569.396.469,FALSE
OSGEPL1,229.444.562.830.002,121.935.996.909.373,396.336.880.883.126,307.657.457.054.394,20.939.391.974.955,204.814.550.149.538,FALSE
NMI,143.084.374.729.233,-12.183.753.779.636,403.531.198.960.287,-301.928.421.173.577,253.372.717.487.535,233.795.780.173.571,FALSE
DPEP2,542.301.106.307.004,12.178.767.550.507,305.424.347.023.219,398.749.073.844.502,"6,68E+09",165.201.326.789.401,FALSE
CD53,716.990.700.753.974,-121.754.230.443.701,259.273.375.480.339,-469.597.891.484.751,"2,65E+08",135.700.532.148.708,FALSE
WDR59,11.104.250.811.079,121.617.003.348.727,332.678.661.297.265,365.568.993.437.954,256.491.221.520.607,454.942.827.596.038,FALSE
IGFLR1,621.535.017.184.609,-121.609.488.979.333,410.885.445.458.732,-295.969.327.517.946,307.945.470.648.774,268.715.997.915.016,FALSE
RIPK2,172.583.929.967.232,-121.604.569.719.585,336.603.068.678.065,-361.269.937.903.894,303.025.944.714.683,516.593.557.469.501,FALSE
EPHA4,453.041.671.342.725,121.536.343.041.042,416.761.357.860.574,291.620.949.852.318,354.312.502.897.586,297.565.102.764.872,FALSE
LGALS8,981.703.940.949.952,-121.520.394.968.134,322.380.278.899.351,-376.947.359.754.822,16.359.221.220.536,328.480.489.472.205,FALSE
HECW2,296.667.762.715.862,-121.421.596.547.192,416.153.305.594.607,-291.771.313.395.439,352.608.579.152.006,296.570.858.792.671,FALSE
RPL13AP20,966.395.677.429.156,121.394.316.332.722,417.169.168.392.667,290.995.417.519.586,361.481.752.404.513,302.694.521.745.482,FALSE
PIK3CD-AS1,406.277.533.832.701,-12.133.795.573.406,34.762.376.156.293,-34.904.965.986.364,48.212.375.009.401,722.552.085.390.563,FALSE
CREBBP,160.362.826.857.674,-121.294.302.726.283,382.669.952.442.947,-31.696.845.271.479,152.604.525.404.537,16.326.966.343.703,FALSE
CREB3L2,333.095.976.285.118,-121.287.742.838.794,325.152.711.063.748,-373.017.781.220.391,19.134.468.471.802,36.862.941.371.774,FALSE
RNF19B,122.332.104.647.294,-121.205.201.838.023,403.625.687.389.559,-300.291.100.454.769,267.410.617.619.613,242.819.911.938.829,FALSE
RN7SL1,516.484.123.523.063,121.157.813.777.621,400.942.132.112.097,302.182.794.158.801,251.253.317.620.309,232.027.861.332.763,FALSE
STARD8,491.064.324.277.279,-121.105.822.678.254,317.725.433.611.057,-381.165.024.473.632,138.042.109.398.717,291.550.047.720.808,FALSE
ETS1,307.714.158.644.157,120.994.233.741.619,398.144.728.649.321,303.895.104.054.458,237.403.432.521.282,222.663.334.531.679,FALSE
TMEM63B,55.890.712.823.354,-120.911.602.858.738,425.967.057.009.103,-283.852.004.208.283,453.232.729.740.274,351.640.767.529.784,FALSE
RPS10P7,119.014.716.251.401,120.842.098.259.001,441.515.069.642.491,273.698.694.716.923,620.047.532.121.889,439.052.448.636.795,FALSE
GPR160,254.490.042.578.817,-120.732.418.111.216,445.256.270.534.179,-27.115.265.095.845,669.741.854.337.332,462.373.235.394.508,FALSE
GZMK,11.758.980.995.885,120.508.762.457.572,448.420.042.382.335,268.740.803.415.792,720.089.285.303.622,486.529.520.076.292,FALSE
MLLT1,645.406.411.602.943,-120.468.502.433.953,444.384.194.450.846,-27.109.088.022.994,670.990.785.059.457,462.675.326.699.099,FALSE
GPBP1,21988481.42.00,-12.040.869.248.016,30.610.309.247.606,-393.359.934.740.211,"8,37E+09",197.191.572.627.098,FALSE
MAFG,224.930.560.123.884,-120.291.827.872.822,284.648.542.282.229,-422.597.730.198.643,"2,38E+09",747.470.419.571.082,FALSE
GGTA1P,284.934.774.857.865,120.286.366.478.487,401.381.527.488.213,299.680.872.787.599,272.821.832.136.892,245.461.402.093.317,FALSE
IDUA,414.328.297.261.025,120.260.178.602.927,344.815.185.133.855,348.767.060.697.291,487.247.951.989.229,725.465.129.560.986,FALSE
LOC440311,52.653.563.583.533,120.160.160.988.938,413.166.082.066.573,290.827.747.495.441,363.425.717.956.385,30.344.751.729.621,FALSE
LYPLAL1,544.603.884.164.184,120.045.354.045.163,39.855.725.444.456,30.119.977.169.268,25.953.454.948.024,237.941.441.866.731,FALSE
ELF4,135.527.241.463.463,-120.030.235.187.819,289.611.091.394.459,-414.453.171.009.029,"3,41E+09",970.875.822.337.705,FALSE
ZNF213,179.314.101.747.852,-119.749.818.400.251,268.556.457.629.025,-44.590.183.925.374,"8,23E+08",331.816.410.692.704,FALSE
MRPL11,953.850.567.493.932,119.676.786.885.194,439.167.661.927.624,272.508.195.070.421,642.855.286.336.375,449.988.116.954.224,FALSE
HABP4,424.016.700.773.473,119.663.476.254.509,353.798.079.052.631,338.225.341.909.524,718.937.887.012.554,97.018.661.754.987,FALSE
CCDC85C,169.942.107.923.505,119.597.883.729.367,4.067.978.508.943,293.998.317.509.409,328.230.069.369.638,281.040.836.423.478,FALSE
TOP1P2,32.178.886.318.785,-119.504.948.778.036,353.678.751.122.838,-337.891.231.516.282,727.732.151.859.694,976.445.316.701.154,FALSE
CSGALNACT2,67.209.981.235.647,-119.430.555.575.436,411.190.881.849.526,-290.450.398.701.062,367.835.518.538.272,305.547.275.231.536,FALSE
SLC36A1,236.512.651.234.714,-119.405.102.884.926,330.460.182.489.671,-361.329.773.485.367,302.327.210.519.976,516.173.927.541.966,FALSE
TNFSF14,296.486.137.630.876,-119.367.651.480.131,359.613.898.032.399,-33.193.280.941.933,902.343.429.287.832,114.346.964.566.975,FALSE
DCUN1D3,578.315.576.733.407,-119.319.279.609.146,357.716.236.602.529,-333.558.467.299.112,851.202.276.391.704,109.323.895.971.254,FALSE
MAGOHB,284.744.435.360.603,119.290.890.930.679,37.857.360.688.459,315.106.200.647.117,162.677.950.197.865,170.532.477.602.589,FALSE
MREG,194.861.216.169.732,119.250.359.656.579,35.403.963.094.026,336.827.714.286.881,756.395.200.833.576,100.427.092.729.999,FALSE
FUT7,536.628.062.305.906,-119.103.688.577.409,421.217.982.454.847,-28.276.021.807.824,468.980.459.280.863,357.774.056.060.083,FALSE
PLXDC2,735.578.350.743.059,-119.066.176.038.945,361.946.617.425.977,-32.896.059.890.184,100.327.763.146.731,122.509.436.690.413,FALSE
RN7SL2,587.942.388.244.942,11.902.873.806.644,396.663.285.198.443,300.075.006.959.346,2.693.155.148.934,243.927.716.422.565,FALSE
LRFN1,307.907.201.865.063,-119.025.982.403.704,285.444.864.072.194,-416.984.144.348.102,"3,05E+09",889.098.882.925.836,FALSE
RPL13AP5,290.074.332.686.253,118.786.851.310.196,406.317.938.420.269,292.349.512.728.946,3.461.256.426.649,29.306.332.253.847,FALSE
HIST2H2BC,276.194.554.716.485,-11.874.133.272.762,423.047.753.813.611,-280.680.683.580.548,500.352.352.058.622,37.641.943.108.368,FALSE
HEIH,509.837.569.981.211,-118.674.792.109.649,37.433.531.023.393,-317.028.046.420.433,152.291.864.413.681,163.088.142.125.637,FALSE
VAMP3,744.832.916.781.674,-118.605.966.629.736,361.366.020.243.836,-32.821.560.408.393,103.016.580.748.893,124.592.163.673.502,FALSE
SPATA13,147.972.374.989.068,-11.854.083.687.019,324.088.138.958.178,-365.767.279.392.742,254.515.671.852.714,452.141.937.302.212,FALSE
FRMPD3,276.129.039.243.312,118.458.613.136.214,414.852.791.063.593,285.543.729.457.652,429.776.086.488.749,338.041.121.820.978,FALSE
SMPD2,405.470.746.598.629,118.434.589.360.941,431.355.858.978.619,274.563.534.714.411,60.393.850.085.033,430.764.140.225.017,FALSE
FAM122C,447.584.859.354.408,-118.344.250.713.308,300.483.154.632.761,-393.846.539.776.728,"8,20E+09",195.661.167.323.556,FALSE
DCAF13,331.357.236.944.961,118.307.681.408.876,439.967.595.521.428,268.900.897.732.396,716.644.918.977.227,485.064.409.551.055,FALSE
AMOT,234.919.654.708.022,118.189.639.498.004,365.847.280.396.633,323.057.313.340.881,123.542.294.181.959,140.899.986.514.524,FALSE
MYD88,285.857.783.980.626,-118.148.787.613.907,254.277.103.476.132,-464.645.797.827.398,"3,38E+08",164.791.639.873.685,FALSE
DBP,143.828.693.896.727,118.119.850.337.032,432.170.150.220.219,273.317.928.776.067,627.261.777.459.608,442.145.894.433.055,FALSE
SLC3A2,72.350.249.253.368,-117.943.525.986.006,360.879.098.780.285,-32.682.282.344.596,108.223.055.429.662,128.974.289.151.023,FALSE
CD300C,229.372.025.177.002,-117.913.137.184.184,374.600.431.606.182,-314.770.425.326.541,164.558.093.569.112,172.182.115.335.387,FALSE
LPAR2,902.428.393.217.288,-117.836.242.536.587,383.405.830.450.846,-307.340.768.391.612,211.629.154.194.068,205.941.169.247.725,FALSE
RPL27A,357.364.220.436.297,117.638.354.058.722,429.852.668.800.154,273.671.335.779.038,620.563.390.795.716,439.052.448.636.795,FALSE
HAVCR2,226.995.465.643.101,-117.634.096.326.538,341.110.416.603.104,-344.856.359.116.731,563.576.748.454.114,809.520.505.808.459,FALSE
MEF2A,776.865.161.022.018,-117.598.469.936.365,266.071.907.179.333,-441.980.031.575.087,"9,88E+07",378.095.438.480.506,FALSE
ZFP36,530.599.605.467.939,-117.515.760.473.834,354.856.047.720.123,-331.164.598.233.139,927.488.348.029.774,116.369.687.670.842,FALSE
C4orf32,109.477.725.808.234,-117.515.457.469.209,323.951.000.892.115,-362.756.889.608.578,286.102.445.550.432,496.651.201.141.961,FALSE
APH1A,604.127.658.612.955,-117.477.789.486.006,335.704.606.867.641,-349.943.930.118.076,466.237.743.210.137,708.048.130.667.326,FALSE
MIR142,623.373.008.795.208,-117.398.315.912.654,424.750.737.925.521,-276.393.436.032.687,571.090.263.108.964,415.653.123.851.802,FALSE
AKR1B1,125.370.059.890.408,117.364.339.688.576,430.373.249.500.643,2.727.036.120.966,639.060.429.795.187,448.522.104.727.022,FALSE
POLR2J4,822.202.193.822.345,117.140.450.754.961,390.521.304.638.694,299.959.181.134.403,270.341.633.983.448,243.927.716.422.565,FALSE
LINC01272,856.601.942.168.297,-117.130.399.682.663,404.158.461.810.756,-289.813.057.873.098,375.394.260.567.139,310.841.786.364.953,FALSE
ADGRE5,102.213.142.214.952,-11.706.898.267.268,345.114.989.030.587,-339.217.322.903.077,693.405.861.232.576,944.837.974.594.686,FALSE
ITGAE,434.944.203.247.016,117.043.484.881.867,405.466.910.784.049,288.663.468.630.625,389.386.047.886.639,318.119.475.368.704,FALSE
HFE,365.792.810.473.159,-117.025.028.380.867,379.710.208.912.848,-308.195.633.496.193,205.645.000.927.903,2.023.624.879.709,FALSE
TBCD,12.126.161.032.416,117.005.953.954.124,337.091.863.269.861,347.104.058.873.275,518.445.627.809.334,760.987.436.958.231,FALSE
WBP2,268.837.914.832.888,-116.961.154.572.819,334.915.483.698.397,-349.225.880.157.115,478.953.942.324.167,720.642.442.243.684,FALSE
TUBE1,230.879.187.876.739,116.924.772.201.726,364.667.519.083.041,320.633.909.199.631,134.435.467.159.497,149.002.575.602.921,FALSE
THYN1,983.730.520.090.093,116.739.783.576.286,432.238.718.829.668,270.081.736.065.596,691.693.106.732.869,472.380.831.274.753,FALSE
N4BP1,144.803.336.755.279,-116.688.464.234.777,276.420.853.887.846,-422.140.596.823.865,"2,43E+09",754.622.677.558.539,FALSE
CCDC97,61.141.360.068.372,-116.575.123.400.225,217.200.102.843.116,-53.671.762.524.177,"8,00E+06","8,66E+08",FALSE
PRKCD,196.866.255.557.269,-116.386.719.115.014,319.186.188.639.386,-364.635.824.661.282,265.983.095.896.657,467.417.135.393.124,FALSE
CCPG1,106.202.855.649.578,-116.359.505.076.595,402.776.262.303.349,-288.893.651.306.986,386.547.108.089.883,316.935.281.650.979,FALSE
LOC284023,233.148.948.388.883,116.242.653.529.236,397.729.168.784.882,29.226.584.986.053,347.056.932.338.391,293.416.183.344.651,FALSE
GORASP1,349.862.927.623.075,-116.208.920.972.215,287.995.624.948.958,-403.509.327.590.691,"5,46E+09",141.008.727.345.837,FALSE
